,city,country,parameter,value,unit
359,Hyderabad,IN,no2,16.2,µg/m³
360,Hyderabad,IN,co,420.0,µg/m³
361,Hyderabad,IN,so2,16.8,µg/m³
362,Hyderabad,IN,pm25,55.0,µg/m³
363,Hyderabad,IN,pm10,137.0,µg/m³
364,CAAQMS,IN,pm10,90.0,µg/m³
365,CAAQMS,IN,so2,15.8,µg/m³
366,CAAQMS,IN,no2,10.5,µg/m³
367,CAAQMS,IN,co,380.0,µg/m³
368,CAAQMS,IN,no2,12.2,µg/m³
369,CAAQMS,IN,so2,7.3,µg/m³
370,CAAQMS,IN,co,10.0,µg/m³
371,CAAQMS,IN,o3,34.3,µg/m³
372,CAAQMS,IN,o3,12.2,µg/m³
373,CAAQMS,IN,pm25,26.0,µg/m³
374,CAAQMS,IN,pm25,16.0,µg/m³
375,CAAQMS,IN,pm10,32.0,µg/m³
376,Maharashtra Pollution Control Board,IN,o3,46.43,µg/m³
377,Maharashtra Pollution Control Board,IN,no2,1.26,µg/m³
378,Maharashtra Pollution Control Board,IN,o3,7.12,µg/m³
379,Maharashtra Pollution Control Board,IN,no2,1.26,µg/m³
380,Maharashtra Pollution Control Board,IN,o3,7.12,µg/m³
381,Maharashtra Pollution Control Board,IN,pm25,30.0,µg/m³
382,Maharashtra Pollution Control Board,IN,pm10,108.0,µg/m³
383,Maharashtra Pollution Control Board,IN,so2,6.09,µg/m³
384,Maharashtra Pollution Control Board,IN,so2,6.09,µg/m³
385,Maharashtra Pollution Control Board,IN,co,110.0,µg/m³
386,Maharashtra Pollution Control Board,IN,no2,1.26,µg/m³
387,Maharashtra Pollution Control Board,IN,o3,7.12,µg/m³
388,Maharashtra Pollution Control Board,IN,so2,6.93,µg/m³
389,Maharashtra Pollution Control Board,IN,pm25,30.0,µg/m³
390,Maharashtra Pollution Control Board,IN,pm10,108.0,µg/m³
391,Maharashtra Pollution Control Board,IN,pm25,30.0,µg/m³
392,Maharashtra Pollution Control Board,IN,pm10,108.0,µg/m³
393,Maharashtra Pollution Control Board,IN,pm25,11.0,µg/m³
394,Maharashtra Pollution Control Board,IN,pm10,46.0,µg/m³
395,Maharashtra Pollution Control Board,IN,no2,5.32,µg/m³
396,Maharashtra Pollution Control Board,IN,co,310.0,µg/m³
397,Maharashtra Pollution Control Board,IN,co,310.0,µg/m³
398,Maharashtra Pollution Control Board,IN,co,310.0,µg/m³
399,Maharashtra Pollution Control Board,IN,so2,6.09,µg/m³
400,Delhi,IN,co,1260.0,µg/m³
401,Delhi,IN,co,1260.0,µg/m³
402,Delhi,IN,co,1260.0,µg/m³
403,Delhi,IN,co,1260.0,µg/m³
404,Delhi,IN,co,1260.0,µg/m³
405,Delhi,IN,co,1260.0,µg/m³
406,Delhi,IN,co,1260.0,µg/m³
407,Delhi,IN,co,1260.0,µg/m³
408,Delhi,IN,co,1260.0,µg/m³
409,Delhi,IN,co,1260.0,µg/m³
410,Delhi,IN,co,1260.0,µg/m³
411,Delhi,IN,co,1260.0,µg/m³
412,Delhi,IN,co,1260.0,µg/m³
413,Delhi,IN,co,1260.0,µg/m³
414,Delhi,IN,co,1260.0,µg/m³
415,Delhi,IN,co,1260.0,µg/m³
416,Delhi,IN,co,1260.0,µg/m³
417,Delhi,IN,co,1260.0,µg/m³
418,Delhi,IN,co,1260.0,µg/m³
419,Delhi,IN,co,1260.0,µg/m³
420,Delhi,IN,co,1260.0,µg/m³
421,Delhi,IN,co,1260.0,µg/m³
422,Delhi,IN,co,1260.0,µg/m³
423,Delhi,IN,co,1260.0,µg/m³
